date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:32:18	77432/77432	---M--	200	added ('OK')	font/ttf	date:Mon,%2010%20Sep%202018%2014:56:24%20GMT	https://adas.az/templates/default/assets/css/fonts/DinPro/DINPro-Bold.ttf	C:/Users/User/Desktop/adas/adas.az/templates/default/assets/css/fonts/DinPro/DINPro-Bold.ttf	(from https://adas.az/templates/default/assets/css/styles.css)
14:32:18	14077/14077	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Sep%202018%2014:56:30%20GMT	https://adas.az/templates/default/assets/css/icons/dots.png	C:/Users/User/Desktop/adas/adas.az/templates/default/assets/css/icons/dots.png	(from https://adas.az/templates/default/assets/css/styles.css)
14:32:19	563/563	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Sep%202018%2014:56:30%20GMT	https://adas.az/templates/default/assets/css/icons/arrow-down.png	C:/Users/User/Desktop/adas/adas.az/templates/default/assets/css/icons/arrow-down.png	(from https://adas.az/templates/default/assets/css/styles.css)
14:32:20	9371/9371	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Sep%202018%2014:56:32%20GMT	https://adas.az/templates/default/assets/img/fist-bk.png	C:/Users/User/Desktop/adas/adas.az/templates/default/assets/img/fist-bk.png	(from https://adas.az/az/register)
14:32:20	73696/73696	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Sep%202018%2014:56:28%20GMT	https://adas.az/templates/default/assets/css/icons/yumruq.png	C:/Users/User/Desktop/adas/adas.az/templates/default/assets/css/icons/yumruq.png	(from https://adas.az/az/register)
14:32:20	9638/9638	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Sep%202018%2014:56:32%20GMT	https://adas.az/templates/default/assets/img/fist-fr.png	C:/Users/User/Desktop/adas/adas.az/templates/default/assets/img/fist-fr.png	(from https://adas.az/az/register)
14:32:20	12568/12568	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Sep%202018%2014:56:28%20GMT	https://adas.az/templates/default/assets/css/icons/text2.png	C:/Users/User/Desktop/adas/adas.az/templates/default/assets/css/icons/text2.png	(from https://adas.az/az/register)
14:32:21	104350/104350	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Sep%202018%2014:56:28%20GMT	https://adas.az/templates/default/assets/css/icons/zencir.png	C:/Users/User/Desktop/adas/adas.az/templates/default/assets/css/icons/zencir.png	(from https://adas.az/az/register)
14:32:21	3584/3584	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Sep%202018%2014:56:32%20GMT	https://adas.az/templates/default/assets/img/teacher-bk.png	C:/Users/User/Desktop/adas/adas.az/templates/default/assets/img/teacher-bk.png	(from https://adas.az/az/teachers/)
14:32:21	124752/124752	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Sep%202018%2014:56:32%20GMT	https://adas.az/templates/default/assets/img/teacher-left.png	C:/Users/User/Desktop/adas/adas.az/templates/default/assets/img/teacher-left.png	(from https://adas.az/az/teachers/)
14:32:21	1642/1642	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Sep%202018%2014:56:32%20GMT	https://adas.az/templates/default/assets/img/teacher-fr.png	C:/Users/User/Desktop/adas/adas.az/templates/default/assets/img/teacher-fr.png	(from https://adas.az/az/teachers/)
14:32:21	681400/681400	---M--	200	added ('OK')	image/png	date:Thu,%2004%20Oct%202018%2006:50:53%20GMT	https://adas.az/uploads/cache/catalog/e09ff5d1-ef20-49f8-8b3e-7d347c9a2b88-1170x658.png	C:/Users/User/Desktop/adas/adas.az/uploads/cache/catalog/e09ff5d1-ef20-49f8-8b3e-7d347c9a2b88-1170x658.png	(from https://adas.az/az/haqqimizda)
